id|id_solicitud|titulo|año_publicacion
1|1|The Official Taylor Swift The Eras Tour Book|2024
2|2|El brillo de las luciérnagas|2013
3|2|La casa entre los cactus|2017
4|3|La canción de Aquiles|2011
5|3|Circe|2018
33|22|Canto yo y la montaña baila|2019
34|22|Te di ojos y miraste las tinieblas|2024
35|22|Los diques|2021
36|23|Todas las personas que fui|2023
37|24|Gente normal|2018
38|24|Conversaciones entre amigos|2017
39|24|Intermezzo|2024
40|25|Napalm en el corazón|2021
41|25|En las manos el paraíso quema|2024
42|26|Un animal salvaje|2024
43|26|El caso Alaska Sanders|2022
44|26|La verdad sobre el caso Harry Quebert|2013
45|26|El libro de los Baltimore|2016
46|26|La muy catastrófica visita al zoo|2025
47|27|Recuerda aquella vez|2015
48|28|El imperio final|2006
49|29|Todo esto te daré|2016
50|30|El duque y yo|2000
51|31|El nombre del viento|2007
52|32|El ladrón del rayo|2005
53|33|El resplandor|1977
54|34|La vida de las marionetas|2023
55|35|Tan poca vida|2015
56|36|Patria|2016
57|37|Errantes|2021
58|38|En la tierra somos fugazmente grandiosos|2019
59|39|Almendra|2017
60|39|El impulso|2023
61|40|Yo a ti tampoco|2024
62|41|Donde no puedas encontrarme|2024
